EpiRR,states,coverage,CpG,CpGIsland,DNA_methyl,enhancer,geneExpression,H3K27ac,H3K27me3,H3K36me3,H3K4me1,H3K4me3,H3K9me3,LINE,LTR,PMDs_Common,RC,RefSeqExon,RefSeqGene,RefSeqTES,RefSeqTSS,RefSeqTSS2kb,Retroposon,RNA,SINE,TandemRepeats,Unknown
IHECRE00000195.3,7,0.31119,0.0582233982170838,70.54705,0.176752179957033,0.58009,0,1.80734234803488,8.95362062428914,0.315809427524327,13.6539239226589,6.99456590420827,3.02489574118539,0.09585,0.10917,0.60854,0,8.38882,1.41506,3.46014,32.46116,16.93475,0.02527,1.34941,0.21027,0.72261,0.26473
IHECRE00000195.3,8,3.3275,0.0138997582837935,2.76115,0.731230837591646,0.97844,0,1.10253277049545,5.42055469155003,0.176682959342368,1.89267199881508,1.28658446271199,2.40420647263571,0.7909,0.90743,0.85037,1.0913,1.44765,0.97958,1.57647,1.84216,3.19674,0.19449,1.19243,0.96532,0.66469,1.10828
IHECRE00000195.3,9,81.27941,0.010766280521118,0.19854,0.896491065561441,1.00853,0.05,0.9244392719442,1.0728134970588,0.580041802246871,2.22293739955189,0.966482990127386,1.11685628102511,1.07847,1.06077,1.09156,1.03596,0.54138,0.85429,0.63486,0.35627,0.51668,1.15059,0.90217,0.94291,1.05724,1.04578
IHECRE00000195.3,10,1.52775,0.00789697058632164,0.82911,0.870483707458363,0.99516,1.08,2.34402606806662,2.33709872073377,0.623509534153995,1.15500844798455,1.30584117789042,7.23379193820903,1.34372,2.32793,1.29986,0.66862,1.36945,0.77249,1.41185,0.58858,0.64817,0.40001,2.00923,0.70026,1.86614,0.39293
IHECRE00000071.3,1,0.3029,0.0655364439331682,71.52531,0.0721483289839212,0.48193,19.14,8.25444060947891,0.520203720851924,0.4845525717653,1.20304739456183,23.7660998400539,0.358658136206751,0.09966,0.09359,0.4525,0.1006,10.44626,1.82492,2.78009,57.32062,25.03941,0.04212,0.88922,0.33904,0.6146,0.12975
IHECRE00000071.3,2,0.59391,0.0418048577638631,35.57584,0.207388636642533,0.57137,5.78,2.40704380905633,1.01673006912914,0.65177731418988,3.35572871927026,14.7958645232544,0.562993414324866,0.22175,0.17997,0.47034,0.61161,6.1531,1.73801,3.19019,40.78165,22.33219,0.08484,2.24454,0.70261,0.53157,0.2805
IHECRE00000071.3,3,3.06334,0.0125577398535661,0.60364,0.675211012789739,1.00682,3.625,1.55854798839251,0.968589904345645,1.11987246086053,7.3397610432415,2.17678142800845,0.92726507362161,0.59829,0.67184,0.47118,0.72739,1.40792,1.56309,1.75523,1.45972,2.93109,0.14268,1.29287,1.36205,0.6663,0.99454
IHECRE00000071.3,4,0.6041,0.0139071241026581,1.14477,0.623669211195929,0.96676,18.08,4.00798982188295,0.466208651399491,2.77928753180662,9.02020356234097,3.25725190839695,0.953893129770992,0.42963,0.59417,0.47786,0.74056,3.18154,1.73665,3.63337,1.93756,2.44513,0.08353,0.92755,1.0426,0.59798,0.8788
IHECRE00000071.3,5,65.09943,0.01062528003973,0.25801,0.876382398633703,0.9714,0.15,0.864527711760651,1.62150580779242,1.28061051267014,1.40510509583629,1.0557990472957,1.31354362788975,0.95013,0.93981,0.85445,1.0471,0.69856,0.9678,0.80124,0.431,0.62661,1.21972,0.99613,1.04745,1.11487,1.03346
IHECRE00000071.3,6,7.3811,0.0108625371504674,0.35807,0.821934424533913,1.0692,0,0.846818193571743,5.2895043053293,0.98612727225713,1.27541178600057,1.18374576577974,2.01715667261397,1.03483,0.99995,0.72303,1.20239,0.87586,0.92586,1.03706,0.66157,1.11447,0.68646,1.05466,1.10172,0.74884,1.2716
IHECRE00000071.3,7,1.56144,0.021549938997087,18.5507,0.540856117455139,0.81537,0,1.01517128874388,12.3857096247961,1.00182707993475,2.11624796084829,1.92048939641109,3.44133768352365,0.5426,0.49862,0.7677,0.56076,3.28394,1.15896,2.49092,9.18669,8.35749,0.03668,1.34833,0.60025,0.6115,0.83941
IHECRE00000071.3,8,1.87177,0.00733856799845975,0.66418,0.862912637657803,1.02519,0.735,0.974600456621005,3.07660153102337,1.58855425731937,1.37021555197421,1.36952726295998,10.2522998925598,1.56295,2.44141,1.35256,0.38639,1.17351,0.77507,1.17818,0.50971,0.53721,0.24656,1.66918,0.59065,1.65986,0.41526
IHECRE00000071.3,9,14.42903,0.00699273778865782,0.05865,0.863356775652889,1.15158,0,0.788381657413119,1.88747686613202,1.05953115360888,1.05177873740489,1.18866954554802,4.20820481184454,1.5081,1.51217,2.13191,1.00055,0.15429,0.54442,0.21,0.13245,0.16098,0.74547,0.57603,0.59172,0.81226,0.99536
IHECRE00000071.3,10,5.09299,0.0127103465391184,0.81908,0.919037379421222,0.96387,7.725,1.00449658360129,0.745629019292605,6.12756229903537,1.64037379421222,1.17112138263666,0.788936897106109,0.53441,0.33747,0.47102,0.75679,4.99809,2.28245,4.07455,0.5153,0.64806,0.72735,1.51252,1.52697,0.63008,0.60924
IHECRE00000250.2,1,5.02787,0.0125762795117342,1.02852,0.860318747989153,0.9319,9.26,1.99368019487981,0.110470193500942,16.8323183343292,3.52225720457784,0.355310934411913,1.24239325274624,0.50892,0.33428,0.47361,0.68743,5.69707,2.26599,4.67233,0.60018,0.73353,0.14161,1.56389,1.45692,0.62058,0.58248
IHECRE00000250.2,2,5.25588,0.0132572548014932,0.38194,0.85034232066295,1.05547,4.145,1.55358504634886,0.101501465878086,6.37009608703757,3.48231625684218,0.3269670728194,0.997119083529631,0.80012,0.50787,0.48262,0.84518,2.02925,2.14629,2.16226,0.4106,0.9265,2.64024,1.35728,1.93555,0.70513,0.72389
IHECRE00000250.2,3,0.59187,0.0136527249812538,1.37317,0.728803353658537,0.92149,27.01,5.18434728381375,0.211474501108647,16.1231291574279,14.898350886918,2.05792682926829,1.22321923503326,0.3583,0.26617,0.45796,0.74995,5.38377,2.24349,6.22743,1.65316,2.95104,0.07177,0.90465,0.90122,0.58394,0.86467
IHECRE00000250.2,4,3.08147,0.0103215381793405,0.25898,0.5970831774261,1.07513,0.35,2.64757995289767,0.475683974203773,2.13436268791407,14.2185140756719,1.23504391081373,1.23936345827922,0.55856,0.71512,0.58817,1.41742,0.86104,1.32085,1.08636,0.9506,1.66159,0.04299,0.92798,0.87686,0.70489,1.56848
IHECRE00000250.2,5,1.10446,0.0111172939177651,0.38887,0.53517075012586,1.07233,5.22,8.58978016445712,0.150151032052358,2.52592716898809,18.1213500587347,2.04434468870616,1.00623007215976,0.46748,0.67358,0.53123,0.60063,0.96103,1.41549,1.21552,1.0929,1.52608,0.05603,0.74608,0.87402,0.63583,1.33109
IHECRE00000250.2,6,0.64082,0.0546736996672286,55.80707,0.0617551946670449,0.51092,12.91,11.4604637968938,0.179278065385434,2.13775618750443,5.79051131125452,65.9334798950429,0.517055527976739,0.12096,0.10117,0.47257,0.13592,8.60301,1.78329,3.03202,52.26545,24.10515,0.04393,1.06246,0.39408,0.57276,0.26093
IHECRE00000250.2,7,0.66698,0.0376993862378192,38.71658,0.241148863877681,0.61405,1.055,2.71181071706661,2.14350180505415,1.86816026049409,10.9266121611099,21.741948042755,0.907287463721951,0.2172,0.21869,0.54458,0.29029,5.50874,1.54705,2.45777,30.70613,19.99236,0.14746,2.26759,0.69265,0.6307,0.49324
